date,time,chamber_temperature_c,d_t_m_v,wet_bulb_depression_m_v,corrected_water_potential_m_pa,intercept,slope,edbo,correction_for_d_t_m_pa,internal_battery_voltage_v,internal_battery_temperature_c,external_power_supply_present,external_power_supply_voltage_v,external_power_supply_current_m_a,diagnostic_comment,dt
2023-02-18,11:30:01,22.12,-0.73,13.92,-3.59,0.37,-4.21,1.21,-0.1,4.2,31.3,present,20.23,39.59,NA,2023-02-18T18:30:01Z
2023-02-18,12:00:00,21.91,-0.84,14.08,-3.67,0.37,-4.21,1.49,-0.11,4.2,32,present,20.04,39,NA,2023-02-18T19:00:00Z
2023-02-18,12:30:00,21.95,-0.19,12.37,-3.14,0.37,-4.21,-0.08,-0.02,4.2,32.8,present,20.15,38.09,NA,2023-02-18T19:30:00Z
2023-02-18,13:00:00,22.3,0.05,12.83,-3.19,0.37,-4.21,0.49,0,4.2,33.4,present,19.98,38.4,NA,2023-02-18T20:00:00Z
2023-02-18,13:30:01,23.64,-0.42,13.95,-3.41,0.37,-4.21,1.09,-0.05,4.2,33.8,present,20.01,38.09,NA,2023-02-18T20:30:01Z
2023-02-18,14:00:01,23.84,-0.54,14.35,-3.5,0.37,-4.21,1.17,-0.07,4.2,34.2,present,20.18,36.59,NA,2023-02-18T21:00:01Z
2023-02-18,14:30:01,23.29,-0.26,13.11,-3.21,0.37,-4.21,0.5,-0.03,4.2,34.2,present,20.31,36,NA,2023-02-18T21:30:01Z
2023-02-18,15:00:00,23.41,-0.38,13.97,-3.43,0.37,-4.21,1.51,-0.05,4.2,33.9,present,20.35,36,NA,2023-02-18T22:00:00Z
2023-02-18,15:30:00,24.34,-0.41,14.09,-3.37,0.37,-4.21,1.13,-0.05,4.2,34.4,present,20.34,35.4,NA,2023-02-18T22:30:00Z
2023-02-18,16:00:00,24.05,-0.5,12.69,-3.07,0.37,-4.21,-0.13,-0.06,4.2,34.59,present,17.75,39.59,NA,2023-02-18T23:00:00Z
2023-02-18,16:30:00,22.31,-0.56,11.64,-2.97,0.37,-4.21,0.41,-0.07,4.06,32.09,not present,0,0,NA,2023-02-18T23:30:00Z
2023-02-18,17:00:00,21.67,-0.48,11.24,-2.91,0.37,-4.21,0.31,-0.06,4.2,32.5,present,20.27,34.8,NA,2023-02-19T00:00:00Z
2023-02-18,17:30:00,21.99,-0.34,11.17,-2.84,0.37,-4.21,-0.22,-0.04,4.2,32.4,present,20.16,34.5,NA,2023-02-19T00:30:00Z
2023-02-18,18:00:00,20.66,-0.75,10.63,-2.87,0.37,-4.21,0.09,-0.1,4,29.2,not present,0,0,NA,2023-02-19T01:00:00Z
2023-02-18,18:30:01,17.93,-0.68,9.01,-2.65,0.37,-4.21,0.19,-0.09,3.96,25.3,not present,0,0,NA,2023-02-19T01:30:01Z
2023-02-18,19:00:01,15.47,-0.55,7.76,-2.47,0.37,-4.21,0.14,-0.07,3.93,22.3,not present,0,0,NA,2023-02-19T02:00:01Z
2023-02-18,19:30:01,13.8,-0.39,6.88,-2.31,0.37,-4.21,-0.21,-0.05,3.91,20.1,not present,0,0,NA,2023-02-19T02:30:01Z
2023-02-18,20:00:01,12.6,-0.55,6.61,-2.35,0.37,-4.21,-0.13,-0.07,3.89,18.6,not present,0,0,NA,2023-02-19T03:00:01Z
2023-02-18,20:30:01,11.16,-0.49,6.28,-2.36,0.37,-4.21,-0.05,-0.07,3.87,17.6,not present,0,0,NA,2023-02-19T03:30:01Z
2023-02-18,21:00:00,10.31,-0.42,5.65,-2.19,0.37,-4.21,-0.51,-0.06,3.86,16.4,not present,0,0,NA,2023-02-19T04:00:00Z
2023-02-18,21:30:00,9.98,-0.2,5.49,-2.13,0.37,-4.21,-0.6,-0.02,3.85,15.9,not present,0,0,NA,2023-02-19T04:30:00Z
2023-02-18,22:00:00,9.72,-0.19,5.47,-2.15,0.37,-4.21,-0.44,-0.02,3.83,15.1,not present,0,0,NA,2023-02-19T05:00:00Z
2023-02-18,22:30:00,9.52,-0.31,5.38,-2.15,0.37,-4.21,-0.53,-0.04,3.82,15,not present,0,0,NA,2023-02-19T05:30:00Z
2023-02-18,23:00:00,8.96,-0.36,5.39,-2.22,0.37,-4.21,-0.37,-0.05,3.81,14.5,not present,0,0,NA,2023-02-19T06:00:00Z
2023-02-18,23:30:00,8.7,-0.18,5.2,-2.14,0.37,-4.21,-0.48,-0.02,3.8,13.9,not present,0,0,NA,2023-02-19T06:30:00Z
2023-02-19,00:00:01,8.84,-0.31,5.29,-2.18,0.37,-4.21,-0.24,-0.04,3.79,14.1,not present,0,0,NA,2023-02-19T07:00:01Z
2023-02-19,00:30:01,9.21,-0.16,5.39,-2.16,0.37,-4.21,-0.27,-0.02,3.79,14.4,not present,0,0,NA,2023-02-19T07:30:01Z
2023-02-19,01:00:01,9.29,-0.38,5.54,-2.25,0.37,-4.21,-0.29,-0.05,3.78,14.4,not present,0,0,NA,2023-02-19T08:00:01Z
2023-02-19,01:30:01,9.86,-0.27,5.59,-2.19,0.37,-4.21,-0.4,-0.03,3.78,15.1,not present,0,0,NA,2023-02-19T08:30:01Z
2023-02-19,02:00:01,10.36,-0.31,5.7,-2.19,0.37,-4.21,-0.4,-0.04,3.78,15.6,not present,0,0,NA,2023-02-19T09:00:01Z
2023-02-19,02:30:01,10.5,-0.3,5.8,-2.22,0.37,-4.21,-0.43,-0.04,3.78,15.9,not present,0,0,NA,2023-02-19T09:30:01Z
2023-02-19,03:00:00,10.37,-0.25,5.75,-2.2,0.37,-4.21,-0.34,-0.03,3.78,16,not present,0,0,NA,2023-02-19T10:00:00Z
2023-02-19,03:30:00,9.76,-0.38,5.65,-2.24,0.37,-4.21,-0.25,-0.05,3.77,15.4,not present,0,0,NA,2023-02-19T10:30:00Z
